puuid,games,wins,winrate
-sROSlUY7nqLidk7asJa9naVCL1nPgH7XsyKl5U4TSkwoDITglL5SFRHHXus43PkR9KhX6SZbG5GqQ,1,1,1.0
-sVc04IiIbhyW4LB_z3VsD9HnZRbyBy29gPGgDo0Pob81QVaHQpN1m-hw_QqSPpNsLEN2n_gUr654A,3,2,0.6666666666666666
-tY-fb__sdIAf799HOrkus7zvosm76V929dYA3dqnBsZdjQ6aA4ahGeRYZmsCVKhk5R7pLczM8WkXg,2,1,0.5
-tcEaXHa0ZJ5-qvdk8fqFXG1Ncye72wYRFV-DgajWS4d4ZfnMyoB4OTIWX92wto4F80RSkbPxSMkew,1,1,1.0
-tif3L0teKdD717-1IhOyIQWjKTFEdsdJQA2VQRE-3cn3_vGjLxifMya4Fj6bh0VZ-6FeU_rAkampQ,1,0,0.0
-uYQTYT052kQ5f9eSUflDvQVCw_yNRhd_O8iA58DhfzlN2oPxIep3MgQ7x3x8dSn4zQx0WmzlcVSvw,1,1,1.0
-v65z_gjbU1lSUfxAvJf6Q5Z2WAtgnApJulzuiBzoQ6FIqmqCjpuWMgW2sJbkH1Cggp6WpoXv8dDqw,2,1,0.5
-vIOcc6b9hXJW3fZIJaoNsOdy-VPFxslKtI9xZLzFntlBkdJoEeWnPp5ORh5TSymgyI2oYo45pwwJg,1,0,0.0
-vR29e2Q-Jr4JdQW2DQxbn55E5sxWh01XOH5HoeelCfXyBWkyywIBkDR7bRFC6IPXITaJ3-eN1XrcA,1,0,0.0
-vpCbbDYf7gBUswoPmRKkaaJeHOPLLdOr-fQCkZdT7-6tLZEKpJmkwYYqk0aE4UMwRbEOAfrbue7vA,1,1,1.0
-vpLmcvmeRYoXN8AbZo2he495PXJD-ETmkckh4WQt1FYNMW4U_gq79_4umgYK4j1RZWq5QudNzidvw,1,0,0.0
-vs_nm0j9IZdpjalXyf-AtMT2SsQJuqA5g8vmZPHHyIqCG5PSyOdt2Y_R5J93amOyDrRge2VDMFXug,1,0,0.0
-wBqzts0zrZug9XYk5HaBOtsJuyyLhk9xhO7_A8WFsD_EU1Ct03j3v1eJiwgPdKNlR-lwm-5DsOQYw,1,1,1.0
-wGhopSCHqONBwZtifZotXfIbo8rlzAptLhx2PDO-zGPD7AE8veB0OE-sewYW1Ow9rNAWGwissvFZw,1,0,0.0
-wb7PRXR_JuS4RILEGXSqLPfI9QG-4v1LqGWqk4kEWheGbmb32wi6A--Wm57wo6u8UKqM_Kt728kAw,1,1,1.0
-wvfH2x7p9dNsXm5I2NJpIY-k6BTNqjPvLZCKD_k-MkgPr3fp-_YPoroqGE8RKwHvgsApYVKz7iecA,1,1,1.0
-xRcp2JkoNt-2NZ6vGHc-BFoqBspdeqOEBUgdna7ItBw-xg6ypm47bIe9cuUnajqaWs8YQS2-KKZzA,1,1,1.0
-y8KUAYXPsHgIPjvcCOT23_GAhFE3VrmVh98bODXzf6qxZ8CLK88capRoWRjr9zegtioflrAQ_CvTw,1,1,1.0
-y_yOMYLS0ZcNyN6Ur5e7fmORKIzE-RdGpK0NgHAQIqRf_DHQ9ZzdEPgc06BiUHSgMfsdJfcYUt8fw,1,1,1.0
-z89xxoKXwXXBvAziZOWHy5tgFIqjMKRZe_0zw9ee-lPjsHUvCenSqGbd4QWQzCLr-ZUvw05G2sqLA,1,1,1.0
-zKuSI9u9NdTCxpr9pXjhpnKMADhlytkAZrjsSGiuXmCqOjwWcyd7MXdaSJ8sG7BQKBdOmvDLUF3fw,1,0,0.0
-zSkbGgwaXbtT23Ehs6KdVyRNSctWUx6ilY4M0sjFe62fPpEMqCDl_t4yRrJwXsiPiIXY_O1B-t55w,1,1,1.0
-zzr4wiZNDsjZ7nOzCLJUW0Ysq_LF3ojDRxHms6WtILHX84wnm49s3ej97mrkaeeZdFpAD8j5PYwtQ,2,1,0.5
0-BJy1IKNtcaHIiluRjM2cZn5zsPu6EhnA03HPJknfAOuLr1rXWGDoIrRbXrryEFkOqanp2spnkzVQ,1,1,1.0
0-Upivl7yGvULGYQQTyr4U98fr7xvyuG9w1qpJMW4VSAX1vkJMSue5u9X2MxfvLTB2oN7iZcWFS0-w,1,0,0.0
0-dVZM0fzdrQpiYtKj-WdSkXBRDQMIYH9Ua7dIiVmfRNE3-B8eh8JZ1_qWIJD9YBSyLx4FpIoyuNzA,1,1,1.0
00JeF6_ZShE80BEGaHGqYtZBtVFXx_kQIy5HxWq-N1p_ymQTiKIfiYMjk04sw4FtnVoXRfkS-KO2vQ,1,0,0.0
00bKDT3pUuPURQdejHwysEXUZFu6PXQX_PzuNoQWn_h2jfuA2IM-86vvc1wPQuyM6SklT76Jj7VKWg,1,0,0.0
01q7KlKKrNzZWx8czmUWqPnFQvRs0uo2KeqfdS6D2MWHOoVkga5AJH4Vj1I2YbtFXo8mZYlv9sQO1w,1,1,1.0
02CCALQiQdwUPNjYpOVOAFI7wioiYM-WZjwIQQoYEn4OsNDjWesB_QhQWUREVrtdCcGNK3dYM5a4cg,1,1,1.0
