puuid,games,wins,winrate
-JkdWD-EiCf9sGbuBBOHfIrNmn_bPK-IIstz_O_NKQl93XbKN-I4wAddLcin5z7Fwmo9s8H7YP0giw,1,1,1.0
-JqcBIUWKRuV522ON9ru4OupKjY8K17TEUcnK1gDmy7Fj8NG2-4MNmkPkVUp79lmwL77FJk2QdbC1A,1,1,1.0
-K3xL1SzNaJ1pN4F2e20hfze3QCajdTLg3LD8NZiqeMD9VHbYm0E8ED2AvyXl2m-VukFb1k0P_-EaQ,1,0,0.0
-K8mcHcUtN_C3FmZAh4DTuDi9C-kw50PwC9tOhan8DmRmtCFTrwrK5gL8_tyfAoKr4TPD3pmPCz4Dw,1,0,0.0
-KPT38UV1jzLY8yl5poPMerO4Zvs5AEcmUBSjXxW51iS2ILRbB2-BCudfoVdYQ8e3a9pxup9REFLDQ,1,1,1.0
-KVcN7r1zcf6QrgKbt8-5L5PFa0dzJxcSn9ArpVS53YtgSD6pYJjc8Gcl1Zsj9XuMpR5NyMQHl21zw,6,1,0.16666666666666666
-KX_RuwaE_nz_oP759HmxitNKJgTdk0-uaTpxoC_rxgcidHFUnRqxUJI-pD5oQPveJpcU6ykbaMGaw,9,6,0.6666666666666666
-K_qKwiDLFmTcUU3e84xa7KMBcjcsOkQjpHifqZN-BA6JxZybLM_ODmDC9GrusJGfDVcVUbL_trB9A,1,1,1.0
-K_rIXYU7njmey_8CLy4DrTwU3RyYjmDMSNKPVJKQGHjWZaGBTMER_45JRpEcjDdJ8r0YFxKn1Iy9w,3,1,0.3333333333333333
-LHgqlMbZXW5AyrmtelrsALT_C1CSk1ByzmNcPP4_9Lvo90zzVXRD4j59KH10PmgXqJ_sELOhpTybQ,1,0,0.0
-LL9jOSuYV6lLGt3Gf68SA7RASzZcHgHIG7v744KypaEWOzX-1H-XI5YePgaJnmw6ea5j0O8Av4BCQ,1,1,1.0
-LMd8tMwarm6srjr-tkZ3qYw39JTftNN7YxbWCNqwJF6zlLa5p5lH41eCBD13NQv7FHU1EYDX4ibmw,1,1,1.0
-LNv0wFg6kbx5tnwFGr9Qv7RlQAT8AD3cclwf_lbfFDLM-WPl3bw9m60VVksvvcShh4Uns0w8S1O5g,1,0,0.0
-LWWTyANK3DrnWgJNG5t769SCVe_oEFnKriQ6mHvcGgl0eMAFbU6ps7nUnI7KEHLQ8f7taQZgk7Kkw,2,1,0.5
-LYxxTdalyOiwzz_1ImNb5Dbr7J21_Vy-VdjyfSNKlhWeBMxAZBfeYvrMPY-N8hJyJhdMoO8ICXwUg,3,1,0.3333333333333333
-LyJnofXqMXZZY_Gu3syC1tjY3q8BqjQODBFt2b69tHgeM1rdtKcpOlm2GFDeLpCAdqVh-b7CGcUng,1,0,0.0
-M4fYTj9bM0YRv9GqxDuvLjY53wMGUIlN6kNB3MKyv4B0I0APEcZUhJr2dcxutUi9vjh3dXLxLl3nA,1,1,1.0
-MMS4-HV5-kI7y0wDMBzJxU4CtnM5McOdFlOer7pxoDRE-b1fweYoLLrRBegjs8TLc1J7TL6fek_lw,2,1,0.5
-MU4jRvn6oebOxfsa4VsTYyZ5FbL1nQoKUEdtfdGajCT00dD1yCIcax1ORMlRhottlMPdECV9or1Jw,1,1,1.0
